Authors,Title,Source
"J Keim, A Kaplan, A Koziolek, M Mirakhorli",Does bert understand code?–an exploratory study on the detection of architectural tactics in code,European Conference on Software Architecture (ECSA)
"G Gadelha, F Ramalho, T Massoni",Traceability recovery between bug reports and test cases-a Mozilla Firefox case study,Automated Software Engineering
"M Iammarino, L Aversano, ML Bernardi…",A Topic Modeling Approach To Evaluate The Comments Consistency To Source Code,International Joint Conference on Neural Networks (IJCNN)
"AH Rasekh, SM Fakhrahmad…",Mining traces between source code and textual documents,International Journal of Computer Applications in Technology
"C Mills, S Haiduc",The impact of retrieval direction on ir-based traceability link recovery,International Conference on Software Engineering (ICSE)
"R Tsuchiya, H Washizaki, Y Fukazawa…",Interactive recovery of requirements traceability links using user feedback and configuration management logs,International Conference on Advanced Information Systems Engineering (CAiSE)
"Y Liu, J Lin, Q Zeng, M Jiang…",Towards semantically guided traceability,International Requirements Engineering Conference (RE)
"T Hey, F Chen, S Weigelt…",Improving Traceability Link Recovery Using Fine-grained Requirements-to-Code Relations,International Conference on Software Maintenance and Evolution (ICSME)
"N Ali, H Cai, A Hamou-Lhadj, J Hassine",Exploiting Parts-of-Speech for effective automated requirements traceability,Information and Software Technology
"L Chen, D Wang, J Wang…",Enhancing unsupervised requirements traceability with sequential semantics,Asia-Pacific Software Engineering Conference (APSEC)
"KS Divya, R Subha, S Palaniswami",Similar words identification using naive and tf-idf method,International Journal of Information Technology and Computer Science
"Y Huang, Z Liu, X Chen, X Luo",Automatic Matching Release Notes and Source Code by Generating Summary for Software Change,International Conference on Digital Home (ICDH)
"Y Zhang, C Wan, B Jin",An empirical study on recovering requirement-to-code links,"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)"
"A Mahmoud, N Niu",On the role of semantics in automated requirements tracing,Requirements Engineering
"L Chen, D Wang, L Shi, Q Wang",A Self-enhanced Automatic Traceability Link Recovery via Structure Knowledge Mining for Small-scale Labeled Data,"Annual Computers, Software, and Applications Conference (COMPSAC)"
"JM Champagne, DL Carver",Discovering relationships among software artifacts,Aerospace Conference
"C Arora, M Sabetzadeh, L Briand…",Automated checking of conformance to requirements templates using natural language processing,IEEE Transactions on Software Engineering
"P Pruski, S Lohar, W Goss, A Rasin…",Tiqi: answering unstructured natural language trace queries,Requirements Engineering
"D Fuchÿ, C Kocher, J Speit",Trace Link Recovery for Software Architecture Documentation,European Conference on Software Architecture (ECSA)
"D Kchaou, N Bouassida, H Ben-Abdallah",A New Approach for Traceability between UML Models.,International Conference on Software Technologies (ICSOFT)
"P Heck, A Zaidman",Horizontal traceability for just‐in‐time requirements: the case for open source feature requests,Journal of Software: Evolution and Process
"S Khatiwada, M Tushev, A Mahmoud",Just enough semantics: An information theoretic approach for IR-based software bug localization,Information and Software Technology
"S Zamani, SP Lee, R Shokripour, J Anvik",A noun-based approach to feature location using time-aware term-weighting,Information and Software Technology
"J Lin, Y Liu, J Guo, J Cleland-Huang…",Tiqi: A natural language interface for querying software project data,International Conference on Automated Software Engineering (ASE)
"G Liu, Y Lu, K Shi, J Chang, X Wei",Mapping bug reports to relevant source code files based on the vector space model and word embedding,IEEE Access
"EE Bella, MP Gervais, R Bendraou…",Semi-supervised approach for recovering traceability links in complex systems,International Conference on Engineering of Complex Computer Systems (ICECCS)
"A Mahmoud, G Williams","Detecting, classifying, and tracing non-functional software requirements",Requirements Engineering
"P Pruski, S Lohar, R Aquanette, G Ott…",Tiqi: Towards natural language trace queries,International Requirements Engineering Conference (RE)
A Mahmoud,An information theoretic approach for extracting and tracing non-functional requirements,International Requirements Engineering Conference (RE)
"J Keim, A Kaplan, A Koziolek, M Mirakhorli",Using BERT for the detection of architectural tactics in code,Karlsruhe Reports in Informatics
"AH Rasekh, AH Arshia, SM Fakhrahmad…",Mining and discovery of hidden relationships between software source codes and related textual documents,Digital Scholarship in the Humanities
"G Scanniello, A Marcus, D Pascale",Link analysis algorithms for static concept location: an empirical assessment,Empirical Software Engineering
"X Xia, D Lo, X Wang, C Zhang, X Wang",Cross-language bug localization,International Conference on Program Comprehension (ICPC)
